Attributes
Year End Date Order,1,2,3,4,5,6,7,8
Year End Date,1577750400,1546214400,1514678400,1483142400,1451520000,1419984000,1388448000,1356912000
Summary
Number Of Weeks,52,52,52,52,52,52,52,52
Currency,GBP,GBP,GBP,GBP,GBP,GBP,GBP,GBP
Consolidated Accounts,Y,Y,Y,Y,Y,Y,Y,Y
Cash,29009000,15326000,7561000,5193000,2187000,1319000,3234000,1006036
Net Worth,43051000,28957000,22376000,24954000,9169000,2034000,2222000,1056363
Year End Date,1577750400,1546214400,1514678400,1483142400,1451520000,1419984000,1388448000,1356912000
Total Current Assets,197971000,156489000,83219000,46363000,21834000,7515000,5839000,1372206
Total Current Liabilities,21031000,33218000,13660000,7024000,9139000,1563000,2643000,324047
Profit And Loss
Turnover,68587000,47534000,25274000,13234000,6212000,2728000,1109000,
Export,,,,,,61000,0,
Cost Of Sales,20110000,12216000,5985000,2914000,2124000,926000,437000,
Gross Profit,48477000,35318000,19289000,10320000,4088000,1802000,672000,
Wages And Salaries,16761000,10231000,8335000,5623000,3762000,1713000,805000,
Director Emoluments,454000,380000,449000,405000,308000,235000,218000,
Operating Profit,10544000,9924000,506000,-2435000,-4097000,-1572000,-1173000,
Depreciation,380000,244000,49000,10000,11000,6000,3000,746
Audit Fees,116000,52000,39000,31000,30000,15000,5000,0
Interest Payments,11884000,9409000,3638000,2418000,921000,367000,202000,
Pretax Profit,1427000,506000,-3131000,-4850000,-5010000,-1939000,-1375000,
Taxation,-1132000,787000,500000,305000,191000,138000,0,
Profit After Tax,295000,1293000,-2631000,-4545000,-4819000,-1801000,-1375000,
Dividends Payable,0,0,0,0,0,0,0,
Retained Profit,295000,1293000,-2631000,-4545000,-4819000,-1801000,-1375000,
Balance Sheet
Tangible Accounts,19272000,4890000,1888000,20000,23000,25000,6000,8204
Intangible Assets,0,0,0,0,0,0,0,0
Total Fixed Assets,19272000,4890000,1888000,20000,23000,25000,6000,8204
Stock,0,0,0,0,0,0,0,0
Trade Debtors,0,0,0,38389000,18030000,5634000,2484000,366170
Cash,29009000,15326000,7561000,5193000,2187000,1319000,3234000,1006036
Other Debtors,168962000,141163000,75658000,2781000,1617000,562000,121000,0
Miscallaneous Current Assets,0,0,0,0,0,0,0,0
Total Current Assets,197971000,156489000,83219000,46363000,21834000,7515000,5839000,1372206
Trade Creditors,346000,1369000,363000,145000,482000,47000,1000,324047
Bank Loans And Overdrafts,0,0,0,0,13000,3000,0,0
Other Short Term Finance,5063000,23766000,10008000,5738000,7593000,1266000,2180000,0
Miscallaneous Current Liabilities,15622000,8083000,3289000,1141000,1051000,247000,462000,0
Total Current Liabilities,21031000,33218000,13660000,7024000,9139000,1563000,2643000,324047
Bank Loans And Overdrafts And LTL,153161000,99204000,49071000,14405000,3562000,3946000,980000,0
Other Long Term Finance,153161000,99204000,49071000,14405000,3549000,3943000,980000,0
Total Long Term Finance,153161000,99204000,49071000,14405000,3549000,3943000,980000,0
Capital And Reserves
Called Up Shared Capital,0,0,0,0,0,0,0,4
P And LAccount Reserve,-15326000,-14721000,-16087000,-13327000,-8385000,-3530000,-1729000,-353637
Revaluation Reserve,0,0,0,0,0,0,0,0
Sundry Reserves,58377000,43678000,38463000,38281000,17554000,5564000,3951000,1409996
Shareholder Funds,43051000,28957000,22376000,24954000,9169000,2034000,2222000,1056363
Other Financials
